Sequence Name,Predicted Haplogroup,N,Nph,Nph_tot,Nph_exp,P_Hg
Contig.1,T2g,292,54,55,55,98.182
Contig.1,B4a1a6a,292,36,47,47,76.596
Contig.1,D4m,292,33,45,45,73.333
Contig.1,B4a1a1a10,292,36,48,48,75.000
Contig.1,K1a4a1a2,292,36,57,57,63.158
Contig.1,B4c1c1,292,34,44,44,77.273
Contig.1,K1a4a1a1,292,35,56,56,62.500
Contig.1,A22,292,35,48,48,72.917
Contig.1,L3e1f,292,32,46,46,69.565
Contig.1,L3e1g,292,32,55,55,58.182
Contig.1,L3e1d,292,31,45,45,68.889
Contig.1,L3e1e,292,32,46,46,69.565
Contig.1,L3e1b,292,32,47,47,68.085
Contig.1,L3e1c,292,33,50,50,66.000
Contig.1,L3e1a,292,32,46,46,69.565
Contig.1,K1b1a1d,292,35,58,58,60.345
Contig.1,M3d1a,292,33,44,44,75.000
Contig.1,R0a1a,292,39,49,49,79.592
Contig.1,R0a1b,292,38,47,47,80.851
Contig.1,D4h3a_152,292,32,54,54,59.259
Contig.1,R9b1a2a,292,39,51,51,76.471
Contig.1,R9b1a2b,292,39,49,49,79.592
Contig.1,I2a1,292,33,52,52,63.462
Contig.1,B4a1a1a17,292,36,48,48,75.000
Contig.1,M7c1c1a,292,31,50,50,62.000
Contig.1,D5a1a2,292,31,54,54,57.407
Contig.1,L0d1b2b2,292,4,39,39,10.256
Contig.1,L0d1b2b1,292,3,38,38,7.895
Contig.1,D5a1a1,292,31,54,54,57.407
Contig.1,J1c3a1,292,42,52,52,80.769
Contig.1,T2f3,292,52,55,55,94.545
Contig.1,J1c3a2,292,42,52,52,80.769
Contig.1,F1b1c,292,37,53,53,69.811
Contig.1,R30a1b,292,39,51,51,76.471
Contig.1,C4c1b,292,30,53,53,56.604
Contig.1,J1b1a2a,292,41,62,62,66.129
Contig.1,J1b1a2b,292,41,61,61,67.213
Contig.1,C4c1a,292,31,56,56,55.357
Contig.1,L1c4a,292,9,58,58,15.517
Contig.1,H3b5,292,38,45,45,84.444
Contig.1,L1c4b,292,9,46,46,19.565
Contig.1,H1p,292,39,45,45,86.667
Contig.1,U5a2a,292,39,51,51,76.471
Contig.1,D1f_16189!,292,32,45,45,71.111
Contig.1,H1s,292,39,45,45,86.667
Contig.1,H1t,292,39,45,45,86.667
Contig.1,H1u,292,39,45,45,86.667
Contig.1,G2a2a,292,31,50,50,62.000
Contig.1,H1w,292,39,45,45,86.667
Contig.1,H1h,292,39,45,45,86.667
Contig.1,H1i,292,38,44,44,86.364
Contig.1,H1j,292,39,45,45,86.667
Contig.1,H1k,292,38,44,44,86.364
Contig.1,H1m,292,39,45,45,86.667
Contig.1,H1n,292,39,45,45,86.667
Contig.1,H1o,292,39,47,47,82.979
Contig.1,H1a,292,39,44,44,88.636
Contig.1,H1b,292,38,44,44,86.364
Contig.1,H1c,292,39,45,45,86.667
Contig.1,H1e,292,39,45,45,86.667
Contig.1,H1f,292,38,45,45,84.444
Contig.1,H1g,292,38,44,44,86.364
Contig.1,H104a,292,37,47,47,78.723
Contig.1,M1b2b,292,28,45,45,62.222
Contig.1,M7b1a,292,31,49,49,63.265
Contig.1,L2a1c_16086,292,23,42,42,54.762
Contig.1,L2a1c1a2,292,24,48,48,50.000
Contig.1,L2a1c1a1,292,24,48,48,50.000
Contig.1,K1b1_s,292,36,53,53,67.925
Contig.1,J1b5a1,292,43,59,59,72.881
Contig.1,H1at1a,292,39,47,47,82.979
Contig.1,U4c2,292,37,52,52,71.154
Contig.1,H1ae3a,292,39,48,48,81.250
Contig.1,U4c1,292,37,56,56,66.071
Contig.1,N9a8,292,36,45,45,80.000
Contig.1,N9a9,292,37,44,44,84.091
Contig.1,H5a1c1,292,39,50,50,78.000
Contig.1,Z4,292,32,50,50,64.000
Contig.1,Z5,292,33,56,56,58.929
Contig.1,N9a6,292,36,45,45,80.000
Contig.1,Z7,292,32,55,55,58.182
Contig.1,Z1,292,31,48,48,64.583
Contig.1,Z2,292,31,51,51,60.784
Contig.1,Z3,292,31,48,48,64.583
Contig.1,A5a,292,35,48,48,72.917
Contig.1,H19,292,38,46,46,82.609
Contig.1,A5c,292,34,45,45,75.556
Contig.1,A5b,292,36,47,47,76.596
Contig.1,J1c15,292,42,50,50,84.000
Contig.1,H1ae2,292,39,46,46,84.783
Contig.1,A2a3,292,33,48,48,68.750
Contig.1,H10,292,38,44,44,86.364
Contig.1,H11,292,36,43,43,83.721
Contig.1,H12,292,37,44,44,84.091
Contig.1,N3a1,292,34,51,51,66.667
Contig.1,H14,292,38,45,45,84.444
Contig.1,H15,292,38,46,46,82.609
Contig.1,H16,292,38,44,44,86.364
Contig.1,H17,292,37,43,43,86.047
Contig.1,T2g2,292,54,59,59,91.525
Contig.1,T2g1,292,54,57,57,94.737
Contig.1,D4h3a5,292,32,53,53,60.377
Contig.1,D4h1a1,292,32,50,50,64.000
Contig.1,M33b1,292,32,47,47,68.085
Contig.1,M33b2,292,32,45,45,71.111
Contig.1,N1b1a4a,292,34,58,58,58.621
Contig.1,M31b'c,292,32,42,42,76.190
Contig.1,H1g1,292,38,45,45,84.444
Contig.1,H1g2,292,38,45,45,84.444
Contig.1,C1b5a,292,31,53,53,58.491
Contig.1,C1b5b,292,31,54,54,57.407
Contig.1,M17c1a1,292,33,47,47,70.213
Contig.1,B2x,292,38,54,54,70.370
Contig.1,J1c3c2,292,42,53,53,79.245
Contig.1,U5a2b2a,292,39,54,54,72.222
Contig.1,J1c3c1,292,42,53,53,79.245
Contig.1,H2a2a2,292,37,48,48,77.083
Contig.1,L3h2,292,32,51,51,62.745
Contig.1,L3h1,292,31,39,39,79.487
Contig.1,M9a4a1,292,32,46,46,69.565
Contig.1,M13c,292,31,43,43,72.093
Contig.1,N1b1a8,292,35,53,53,66.038
Contig.1,M13a,292,30,45,45,66.667
Contig.1,L0f2,292,2,36,36,5.556
Contig.1,N1b1a4,292,34,55,55,61.818
Contig.1,N1b1a7,292,34,53,53,64.151
Contig.1,L0f1,292,5,37,37,13.514
Contig.1,N1b1a1,292,35,54,54,64.815
